best_frequency,bandwidth,fit,resp_sum
15213.39044,140.2196619,[-1.71498141e+04  1.71699314e+04  1.38930541e+01  5.95412577e+01],"[12.08323326  8.94399499 14.643428    7.05011643  6.71884573 13.85918351
 22.2125243  14.32081619 11.95777018 11.71299974  4.10495819 23.12141691
 22.81972013 18.80341429 15.95023871  8.36794266 10.99306513 12.58133911
 14.95275927 25.50066806 10.13615293 16.85500398 22.46705692 24.1395488
 21.17876939 16.23054292 16.25891548 16.25236298 21.47602332 19.46083756
 13.39798356 21.82058994 38.76962969 32.05229951 39.6633266  22.9002284
  9.51145087 11.38416189  8.38877741  8.40139859 15.354989    8.80577681
  8.87767736 10.85993597 10.6485845   4.66736128 11.75491659  0.36802624
  5.43958841  6.05831819  1.00035453]"
6976.555348,2.80614868,[ 4.42173829 15.61851235 12.76829917  1.19157056],"[18.1279583  13.40519409 21.80413281 11.29153741 17.40461148 18.54543096
 17.69121537 14.48500711 18.84309171 21.92418637 14.90447448 16.82341693
 14.5771517  14.60689299 27.47520744 26.98171323 21.29035791 20.23822771
 12.66692832 27.057935   15.03508347 11.46400773 16.94427319 11.39830992
 17.39863804 16.3228392   8.15830807  9.4657291  13.11327026 14.20916867
 16.93691953  4.97723273  4.40981549  3.52299274  9.83421657  6.15410646
  4.91768145  3.34513124  1.49098511 10.79313879  0.          3.49056597
  5.1558474   6.84488956  3.82630026  4.73181146  6.57910987  3.61086233
  0.          6.05124328 14.27782825]"
6865.092987,1.733968345,[ 1.87765201  4.6630965  12.74506355  0.73629229],"[ 2.92004681  3.49137582  2.50874094  3.96827331  6.84441136  3.46360933
  7.68761644  3.47094312  9.29611419  7.12634109  1.52773898  5.05455241
  1.10571325 12.3495532   5.05581466 13.30019925  6.29410259  2.7485136
  7.50145737  0.18683471  5.56758567  0.5352924   5.54312254  1.33121257
  4.17037068  6.56310027  2.59052381  1.05458692  1.88885821  2.85426494
  4.0623989   2.20873589  0.52807209  0.30768978  3.72300415  0.44084864
  0.80821257  1.03890792  0.55680556  2.3235873   0.73460039  4.67465937
  3.91171654  0.18903973  3.08994241  0.42468122  0.93690724  1.04916476
  5.45074063  3.24338347  0.1616404 ]"
5827.776731,2.305189194,[ 0.70818529  7.69796292 12.50872989  0.97884891],"[ 7.3504812   2.89803603  3.96968219 14.07029882  5.66184641  5.56863678
  5.58808089 14.890892    6.01980624  7.05990503  7.06306973  7.46584264
  8.62567789  7.84418584 10.09235712  4.07887378  6.13128439  7.14898756
  5.14067041  8.86188792  5.3224771   4.87597868  8.43832133  0.96782124
  3.1143209   0.83314477  4.52122609  2.29078425  2.4224511   0.09382531
  1.19617937  0.54025004  0.22502185  0.          0.22641337  0.39413584
  0.3233602   0.93865924  0.79853614  0.66580689  0.71002989  0.80810795
  1.17882808  0.76089151  0.84192279  1.24909395  0.21396533  0.2330656
  1.87903494  2.3586731   2.37663407]"
4914.489449,2.186401963,[ 2.86776002 14.09825141 12.26282583  0.92840848],"[12.32586851  9.3281151  17.61967044 16.50867167 17.4426953  18.52990368
 16.64047189 19.21762998 16.71804287 17.69346742 15.71334286 17.84503188
  9.26051123  9.72624001 20.77839106  7.26769742 10.79739533  7.93496622
 11.53754288  9.16017964 10.59297643  9.91123751 11.68996213  6.42171785
  5.73344747  9.40865165  6.42961513  2.9455041   1.44814564  0.
  0.6376097   0.59481357  2.49156656  0.          0.          0.
  0.18479713  0.          5.08498822  5.89694548  4.79363949  4.43548147
  3.37993113  3.5133325   3.96720477  1.76804642  1.84203886  0.47912649
  4.55314673  7.77306551  8.72429992]"
10940.05034,7.993652733,[-39.26044396  71.12802939  13.41733176   3.39433237],"[13.86476195 23.16342488 21.62207039 19.42600775 37.54260326 25.46532568
 42.53907874 36.64475404 44.39293983 23.90216706 26.57282744 27.73224674
 17.50802721 25.32174205 33.85425547 32.15334381 29.49081924 13.21249928
 24.80727167  7.83003342 39.75978631 24.22598743 32.50760663 21.30414363
 47.06994735 45.37919367 51.92174189 24.70422685 26.53886757 31.42773882
 34.00236931 40.84383686 34.10373794 34.46537049 27.6431341  12.30162478
 18.34018203 32.89277723 17.15806872  5.02180974 11.38512239  9.12983514
 10.62208487 18.8969997   9.70902035 10.60624477 15.72381816  9.36831937
 27.20026152  8.64990188  3.82705082]"
13985.25991,0.992143546,[ 1.0913968   1.04497731 13.77161945  0.42129238],"[0.26830968 3.39911344 0.9125825  1.37373762 2.2186521  1.15582966
 0.82766058 0.7570354  0.34388008 1.20693073 0.49481163 2.39712414
 0.52397205 0.81254957 1.26651298 1.02619565 1.74972549 1.46605275
 2.6168352  2.42591    1.01002596 2.68567016 1.46628882 0.66870512
 1.67887359 4.75981333 1.41542995 1.69300973 1.82541564 0.75859656
 0.89296083 0.95265131 0.0417796  1.00244144 0.99180882 0.39949295
 1.8860355  0.93401796 1.62970205 0.6273315  0.41960318 0.93564696
 0.34287259 0.62578426 1.83610667 1.30995635 0.63722638 1.13096745
 0.6985584  0.17896054 4.02231328]"
5864.722736,1.356773236,[ 7.16607201 30.8437214  12.51784719 -0.57612452],"[10.76183784 28.34479127 34.49233735 32.84505457 38.4097065  18.06364453
 16.36933924  5.14429654  8.50599228  8.68488683  8.33915006  5.07563992
  6.88181036  3.28623381  5.52286616 14.82357928]"
15594.02025,1.727269168,[ 9.84405119 44.69700432 13.92870529  0.73344763],"[15.19646696 22.38019141  6.69836742 26.37339071 35.25368897 33.19927729
 40.46362171 51.25521776 60.86662735 39.64059792 42.26821813  0.61944005
  6.13597534  0.87417471  4.42252618 18.07361521]"
16965.52652,1.856035942,[ 8.03123839 48.53747732 14.05031858  0.78812567],"[1.58215634e+01 1.58745157e+01 2.13870118e+01 1.33343519e+01
 3.61095484e+01 4.46109314e+01 3.32988526e+01 3.73024851e+01
 7.02823140e+01 5.33428269e+01 5.42285663e+01 5.02444182e+00
 6.66077793e-01 4.64459586e+00 2.85358020e-02 9.76598928e+00]"
