mouseid,filename,patch_site,best_frequency,onset,offset,peak_amplitude,HWFM,sustain,offpeak_amplitude
TG150,20230607_002,up,13680.58931,-0.081888424,1.369378304,5.307364825,3861,1.57773159,1.169193109
TG150,20230607_003,up,13680.58931,-0.0875776,1.754905015,5.059216948,10281,1.828289662,0.941826303
TG150,20230607_005,up,11794.02091,-0.122414464,1.547523921,3.733720719,6938,1.362032102,0.277543612
TG150,20230607_006,up,11987.73298,-0.019667694,1.379442162,4.251786859,4443,1.430243091,0.80609739
TG150,20230607_009,up,12856.3569,-0.089407018,0.75471492,7.684237499,2613,1.071141481,2.031560944
TG150,20230607_010,up,12856.3569,-0.046880899,1.623463879,4.745397356,10238,1.760872884,0.975886248
TG150,20230607_012,up,12211.41889,-0.024410561,1.015506844,4.707264551,5947,1.430059047,0.846989284
TG150,20230607_014,up,11393.89394,-0.090756189,2.109215532,5.696486985,3961,2.273328104,0.908960823
TG145,20230630_003,up,11842.81815,-0.194317689,0.259541344,1.371380563,2115,0.454581317,0.539164459
TG145,20230630_004,up,11842.81815,0.135297378,-0.12001447,0.794017862,1291,0.357634153,0.477872535
TG145,20230630_008,low,14122.90626,-0.579432822,-1.888482729,2.883691834,961,-1.213378984,4.813269479
TG145,20230630_009,low,9890.748335,-0.35346581,-1.576698085,2.002958506,1126,-1.390044183,4.39371677
TG146,20230630_014,low,21611.49497,0.080869011,-1.184015888,0.478264822,287,-0.811579173,2.214831628
TG146,20230630_015,low,21611.49497,-0.021811531,0.031072646,0.284759063,336,-0.006335506,0.711941051
TP032,20231008_002,up,14998.33068,-0.169525683,3.621807126,19.14276239,2754,4.688424927,1.922741084
TP032,20231008_004,up,18810.79505,-0.135769802,2.554445223,4.080500208,27074,2.850568416,0.576693854
TP032,20231008_005,up,23158.52904,-0.098773279,1.857583157,2.713726405,26438,1.966734954,0.071091649
TP026,20231012_002,low,13556.61748,-0.073380647,0.50438414,0.992380913,15778,0.432550053,1.252626204
TP057,20231026_002,up,37902.84799,0.082990023,-3.008540955,1.392705206,1582,-1.75962388,4.025950577
TP064,20231121_002,low,4578.418161,-0.017670109,-2.901471268,0.313982582,143,-2.398354208,4.289086694
TP064,20231121_003,low,4567.457758,0.371986671,-3.936701078,1.916279284,427,-3.032246787,4.174122078
TP064,20231121_005,low,3356.122349,-0.131504218,-3.152096114,0.604895315,179,-2.904191916,3.481712568
TP064,20231121_007,up,14677.33807,0.046820267,1.20616205,3.372480653,3118,0.820017026,0.55971496
TP087,20231128_009,low,5714.906063,-0.034655961,-2.405173579,0.37883133,414,-1.887109567,4.954806857
TP087,20231128_010,low,5714.906063,-0.142545925,-2.535572287,0.447062479,463,-2.372796161,4.205740813
TP087,20231128_012,low,7038.747464,0.014422547,-1.188680042,0.422117525,489,-1.103606583,1.927533977
TP096,20231201_002,low,13870.34252,-0.089281123,0.257421997,2.04814977,384,0.466028556,6.271175233
TP096,20231201_003,low,13870.34252,-0.016741902,0.956771426,0.770131846,431,0.932447123,3.108118313
TP096,20231201_006,up,17294.41159,0.046502577,0.868369833,3.013740304,10093,1.540942516,-1.370983075
TP096,20231201_007,up,17294.41159,0.166461535,1.365393929,2.653791315,20094,2.012834637,-1.23619527
TP096,20231201_009,up,20434.59304,0.129404096,1.733285804,2.969995874,24761,2.407361467,-1.499980877
TP109,20231215_002,up,18816.37336,-0.041587144,1.091019648,3.460250324,1744,1.357989412,1.062015416
TP110,20231221_002,low,6610.686922,0.06045986,-2.104875961,0.664264224,521,-1.784022766,5.95074477
TP110,20231221_004,low,6610.686922,0.024238037,-1.727266538,0.442837752,309,-1.656018205,4.3670787
TP110,20231221_005,low,6942.616922,-0.046994661,-2.207404873,0.580331212,325,-1.790983864,3.766434892
