mouseid,filename,patch_site,best_frequency,onset,offset,peak_amplitude,time_to_peak,HWFM,sustain,offpeak_amplitude,time_to_offpeak
TG150,20230607_002,up,13680.58931,-0.054373074,1.106938256,5.342582321,58.36,3250,1.39495226,1.433761953,74.24
TG150,20230607_003,up,13680.58931,-0.032388169,1.689120693,4.988732782,70.08,10324,1.733179823,1.300758423,64.2
TG150,20230607_005,up,11794.02091,-0.127520999,1.478415842,3.606544208,58.04,4924,1.217780435,0.400099733,81.04
TG150,20230607_006,up,11987.73298,-0.080864274,1.050401651,3.953677894,61.8,3787,1.148503704,1.125061701,67.8
TG150,20230607_009,up,12856.3569,-0.037450799,0.845103325,7.088631922,93.08,2780,1.041298493,2.213194073,83.36
TG150,20230607_010,up,12856.3569,-0.079637782,1.549735728,4.540659385,82.28,8325,1.761806881,1.164688376,58.76
TG150,20230607_012,up,12211.41889,-0.139598162,0.986624219,5.112215005,79.32,3951,1.598310451,1.37265243,73.68
TG150,20230607_014,up,11393.89394,0.062514538,2.343004815,5.80486857,91.88,3321,2.328290977,1.136720408,69.72
TG145,20230630_003,up,11842.81815,-0.141431214,0.067955425,1.377492454,30.36,861,0.289975702,0.687553528,47.84
TG145,20230630_004,up,11842.81815,0.165300252,-0.360222844,0.612205011,29.88,477,0.255543955,0.520783907,52.28
TG145,20230630_008,low,14122.90626,-0.688055805,-2.393743884,2.597719349,40.72,814,-1.699864545,4.559760355,135.84
TG145,20230630_009,low,9890.748335,-0.188082623,-1.439937328,1.443650485,42.6,1150,-1.12961656,3.503823759,93.36
TG146,20230630_014,low,21611.49497,0.062934546,-1.115672781,-1.84224818,63.88,3730,-0.882271528,1.868058949,59.16
TG146,20230630_015,low,21611.49497,-0.084269325,0.054476151,-0.603293709,85.48,2066,0.044102644,0.546097906,43.72
TP032,20231008_004,up,18810.79505,-0.13766385,2.580008327,4.171746358,62,27202,2.806401514,0.726805152,82.92
TP032,20231008_005,up,23158.52904,-0.109755032,1.954826356,2.7885219,59.04,26424,1.979808309,0.051957857,48.96
TP026,20231012_002,low,13556.61748,-0.07839704,0.382002584,0.70319621,179.36,15623,0.382578712,1.093266637,177.92
TP057,20231026_002,up,37902.84799,0.099274327,-2.98659413,1.178802102,65.6,1647,-2.149133677,3.074095498,156.08
TP064,20231121_002,low,4578.418161,0.039845731,-2.782472773,-2.975873929,85.44,25552,-2.405631075,3.649423993,145.84
TP064,20231121_003,low,4567.457758,0.442199541,-3.676779022,1.864754561,30.92,396,-2.841634227,3.975907299,145.72
TP064,20231121_005,low,3356.122349,-0.161182374,-3.039584558,0.635526034,26.56,301,-2.836524183,2.209834854,145
TP064,20231121_007,up,14677.33807,0.233130969,1.019642273,3.501330675,68.28,3117,0.700206309,0.665654633,47.52
TP087,20231128_009,low,5714.906063,0.006681186,-2.646538213,0.194228735,11.48,165,-2.063919787,5.304865606,88.72
TP087,20231128_010,low,5714.906063,-0.331950671,-2.794272379,0.374354717,31.48,262,-2.481302703,4.455110296,81.64
TP087,20231128_012,low,7038.747464,0.052110264,-1.301981618,0.475059684,37.32,465,-1.225141699,1.706875457,69.72
TP096,20231201_002,low,13870.34252,-0.238601798,0.00155305,1.860213475,27.48,410,0.136545535,6.015265714,50.88
TP096,20231201_003,low,13870.34252,-0.088641032,0.715367172,0.596090576,26.88,365,0.743028283,2.973139178,40.92
TP096,20231201_006,up,17294.41159,-0.041886886,1.322448151,2.576036305,58.04,12239,1.54391515,0.016137926,19.24
TP096,20231201_007,up,17294.41159,0.247832087,1.173021333,2.458039857,52.8,20166,2.193346939,0.05725931,45.88
TP096,20231201_009,up,20434.59304,-0.008204067,1.706042997,3.315989802,102.84,25435,2.667511906,0.180755372,47.4
TP109,20231215_002,up,18816.37336,0.013023251,0.900035826,3.456742191,49.08,1925,1.217270717,1.110022086,53.2
TP110,20231221_002,low,6610.686922,0.05593797,-2.167511307,0.624622881,32.4,545,-1.862757042,6.07803996,146.04
TP110,20231221_004,low,6610.686922,0.03133166,-1.692827474,0.428368718,29.16,386,-1.705287417,4.135434751,129.24
TP110,20231221_005,low,6942.616922,-0.098442594,-2.129335998,0.627650151,29.04,304,-1.926332305,3.655694241,123.08
