mouseid,filename,patch_site,best_frequency,onset,offset,peak_amplitude,HWFM,sustain,offpeak_amplitude
TG150,20230607_002,up,13680.58931,0.173135153,2.179691065,9.501962438,4800,2.717728016,3.838962638
TG150,20230607_003,up,13680.58931,-0.054991484,2.271391431,8.447237487,8314,2.6885994,2.20146794
TG150,20230607_005,up,11794.02091,0.06329512,1.71720967,6.491860024,5450,1.643806997,1.647033029
TG150,20230607_006,up,11987.73298,0.019407994,0.972373866,6.242157844,2911,1.225379239,2.211609757
TG150,20230607_009,up,12856.3569,0.040011336,1.487535279,7.889047297,5671,2.154832214,3.871793487
TG150,20230607_010,up,12856.3569,-0.325640958,1.650792602,5.144353456,8603,1.713198388,2.635702391
TG150,20230607_012,up,12211.41889,-0.22721856,1.11768787,5.573295769,9228,1.593694124,2.358153497
TG150,20230607_014,up,11393.89394,0.144154095,2.668387245,7.090615568,3264,2.723531317,2.202081059
TG145,20230630_003,up,11842.81815,-0.131441442,0.356792201,2.981132377,1323,0.726121726,2.031850025
TG145,20230630_004,up,11842.81815,-0.120583564,-0.101810213,1.86810867,1119,0.233170897,1.674462746
TG145,20230630_008,low,14122.90626,0.10552911,-1.74544974,6.004048403,1360,-0.473445978,9.525729913
TG145,20230630_009,low,9890.748335,0.19275079,-0.819924277,6.087176543,1211,-0.680874657,8.321920157
TG146,20230630_014,low,21611.49497,0.251464679,1.029840273,3.293138648,7072,1.400523354,5.723094215
TG146,20230630_015,low,21611.49497,0.273971488,0.204495451,1.174150133,1113,0.566197568,1.940767413
TP032,20231008_002,up,14998.33068,-0.243123135,8.00007577,26.85620788,8550,9.015584018,1.00372403
TP032,20231008_004,up,18810.79505,-0.288224482,4.372425577,6.761288568,26960,4.834070003,0.422156932
TP032,20231008_005,up,23158.52904,-0.098035665,2.573231702,4.323691381,26290,2.952722734,0.132965751
TP026,20231012_002,low,13556.61748,0.033036915,-0.582550574,1.269068212,5920,-0.146240239,2.501532364
TP057,20231026_002,up,37902.84799,-0.264009522,-2.844811321,2.961202324,1370,-2.457361518,5.428424522
TP064,20231121_002,low,4578.418161,0.256683235,-1.043173781,3.598521849,2035,-1.813101268,4.505630007
TP064,20231121_003,low,4567.457758,0.228884852,-1.839002394,4.18697754,2132,-0.945813046,4.371699738
TP064,20231121_005,low,3356.122349,0.432709894,-1.552554857,3.154976022,545,-2.149588602,3.897890565
TP064,20231121_007,up,14677.33807,0.302984332,1.75049472,5.803343879,5124,1.904174082,2.048169298
TP087,20231128_009,low,5714.906063,0.312336081,1.313716403,5.401579401,1973,0.862096698,4.746791875
TP087,20231128_010,low,5714.906063,-0.558887255,0.079280242,4.340679087,1593,0.21273535,4.496172024
TP087,20231128_012,low,7038.747464,-0.512062728,0.136502577,2.875550116,1406,-0.017397338,2.113289801
TP096,20231201_002,low,13870.34252,-0.070177048,3.250866841,4.094201959,29179,3.207467416,6.917639131
TP096,20231201_003,low,13870.34252,0.060910233,2.086675514,2.20139105,28278,2.214488445,2.775385361
TP096,20231201_006,up,17294.41159,-0.158862971,3.031438822,3.432642666,25837,3.283181771,-3.206275245
TP096,20231201_007,up,17294.41159,0.316092239,2.331138667,3.153925162,18560,2.614674932,-3.069548266
TP096,20231201_009,up,20434.59304,-0.067124418,4.268845971,2.880664758,26375,3.365037315,-4.141169547
TP109,20231215_002,up,18816.37336,-0.063137409,1.16758734,6.06363524,2905,1.799243963,2.210751464
TP110,20231221_002,low,6610.686922,0.058043972,-0.209122502,3.515154741,5164,0.270981441,2.362054176
TP110,20231221_004,low,6610.686922,0.128994478,-0.606035193,1.863601295,939,-0.10132051,1.891296392
TP110,20231221_005,low,6942.616922,-0.073809102,-0.098131724,1.53274309,1165,-0.006225544,1.43215132
