mouseid,filename,patch_site,best_frequency,onset,offset,peak_amplitude,time_to_peak,HWFM,sustain,offpeak_amplitude,time_to_offpeak
TG150,20230607_002,up,13680.58931,0.027024606,2.415173747,8.088751032,74.2,7723,2.889572181,2.354969103,67.96
TG150,20230607_003,up,13680.58931,-0.177008244,2.218500641,7.505453274,102.68,8415,2.831617111,1.068562174,53.6
TG150,20230607_005,up,11794.02091,0.022964328,1.796354679,6.141309974,89.56,7133,1.988193677,0.839955068,60.48
TG150,20230607_006,up,11987.73298,0.121746701,1.646060445,6.316219092,67.16,4415,1.79811054,1.221210105,62.48
TG150,20230607_009,up,12856.3569,-0.096649312,1.080562697,8.824742508,91.72,3053,1.828519783,2.135993193,99.96
TG150,20230607_010,up,12856.3569,-0.173758549,1.774393699,5.135798254,76.56,9346,2.063834502,1.698314701,82.88
TG150,20230607_012,up,12211.41889,0.060939626,1.166398182,4.639863004,87.88,2625,1.59944094,1.375682423,64.08
TG150,20230607_014,up,11393.89394,-0.251967592,2.01781768,7.006298574,105.16,4229,2.54928406,1.476631478,79.72
TG145,20230630_003,up,11842.81815,-0.218626845,0.552882734,2.216666091,54,2570,0.812216406,1.438763411,71.4
TG145,20230630_004,up,11842.81815,-0.062630907,0.182261514,1.712107193,37.32,1861,0.43660698,1.235734965,65.36
TG145,20230630_008,low,14122.90626,-0.092121213,-1.143284694,4.866137614,47.16,1327,-0.447515505,7.486065886,102.28
TG145,20230630_009,low,9890.748335,-0.300868426,-1.380658857,4.690499712,46.36,1207,-1.310396273,7.892023472,79.44
TG146,20230630_014,low,21611.49497,0.21550845,0.021280218,2.376846678,175.76,4400,0.603465205,5.240169583,51.48
TG146,20230630_015,low,21611.49497,0.26808231,0.093000022,0.942318148,149.36,2686,0.307580739,1.795374941,48.36
TP032,20231008_004,up,18810.79505,-0.229988285,3.67202067,5.619088927,66.56,26727,4.15300427,0.192096084,67
TP032,20231008_005,up,23158.52904,-0.080513022,2.102115266,3.435968126,65.52,25481,2.519297382,0.140958456,76.04
TP026,20231012_002,low,13556.61748,0.018973505,-0.004863004,1.815173567,219.04,7409,0.438812969,2.341034773,95.6
TP057,20231026_002,up,37902.84799,-0.212019431,-2.964160051,2.377790205,73.56,1543,-2.921027587,5.611889857,128.48
TP064,20231121_002,low,4578.418161,-0.022053255,-1.781204571,2.462690792,88.64,2965,-1.285099764,5.516289877,129.16
TP064,20231121_003,low,4567.457758,-0.051632118,-3.205883468,4.112138277,30.88,1324,-2.142027587,5.018798209,168.32
TP064,20231121_005,low,3356.122349,0.539485425,-2.705048628,2.376422506,64.24,496,-2.796562706,3.067909387,90.84
TP064,20231121_007,up,14677.33807,-0.09154979,1.768631959,4.714400751,58.2,4234,1.597461679,0.446482833,41.72
TP087,20231128_009,low,5714.906063,0.086663966,0.421802902,4.620487337,53.12,1998,-0.238022326,3.935743674,58.84
TP087,20231128_010,low,5714.906063,0.023762306,-0.349332063,3.009068416,38.16,1392,-0.635108174,3.962033765,63.6
TP087,20231128_012,low,7038.747464,-0.393640989,-0.120433376,1.66836391,55.28,1690,-0.187180364,1.93681662,69.08
TP096,20231201_002,low,13870.34252,0.190958537,2.514053008,3.632415962,29.12,28995,2.800467657,6.957704487,57.32
TP096,20231201_003,low,13870.34252,0.159267815,2.069241536,1.938639827,30.12,28273,2.124104502,3.351113584,54.48
TP096,20231201_006,up,17294.41159,0.096338277,1.53573153,3.109741043,36.28,21986,2.258636231,0.235635416,18.96
TP096,20231201_007,up,17294.41159,0.087727408,2.651112701,3.176981139,45.08,13212,2.288722462,0.083298287,35.52
TP096,20231201_009,up,20434.59304,0.315435528,3.354402938,2.467792185,34.52,26006,3.501534512,0.047515196,35.52
TP109,20231215_002,up,18816.37336,-0.178329747,1.570068884,5.512716359,40.8,1736,2.078404435,1.383837785,61.96
TP110,20231221_002,low,6610.686922,0.067950568,-0.760906615,2.783449708,82.72,4734,-0.176689266,3.392892333,101.48
TP110,20231221_004,low,6610.686922,0.077394219,-1.075353086,1.370048737,31.72,894,-0.849361248,2.767437479,84.48
TP110,20231221_005,low,6942.616922,0.023201009,-1.279630221,0.993863783,32.16,920,-0.876084675,2.639004108,85.4
