date,#,filename,path,type,CWT,FIR,LabView ver,Py_version,project,hard_exclude,mouse_id,patch_site,best_frequency,tuning,tuning_from,need_checking,intrinsic_check,tuning_check,final_inclusion,fs_neuron
20210305,4,20210305_004,E:\in-vivo_patch\20210305/20210305_004_2021_03_05_10_48_37.tdms,Pure Tones,no,20170417,1,1,test,exclude,,,,,,,,,,
20210305,5,20210305_005,E:\in-vivo_patch\20210305/20210305_005_2021_03_05_13_01_03.tdms,Pure Tones,no,20170417,1,1,test,exclude,,,,,,,,,,
20210308,1,20210308_001,E:\in-vivo_patch\20210308/20210308_001_2021_03_08_11_11_01.tdms,Pure Tones,no,20170417,1,1,test,exclude,,,,,,,,,,
20210308,2,20210308_002,E:\in-vivo_patch\20210308/20210308_002_2021_03_08_11_14_39.tdms,Pure Tones,no,20170417,1,1,test,exclude,,,,,,,,,,
20210308,3,20210308_003,E:\in-vivo_patch\20210308/20210308_003_2021_03_08_11_16_27.tdms,Pure Tones,no,20170417,1,1,test,exclude,,,,,,,,,,
20210329,3,20210329_003,E:\in-vivo_patch\20210329/20210329_003_2021_03_29_12_38_52.tdms,Pure Tones,no,20170417,1,1,test,exclude,,,,,,,,,,
20210329,4,20210329_004,E:\in-vivo_patch\20210329/20210329_004_2021_03_29_12_41_12.tdms,Pure Tones,no,20170417,1,1,test,exclude,,,,,,,,,,
20210329,5,20210329_005,E:\in-vivo_patch\20210329/20210329_005_2021_03_29_12_43_43.tdms,SAM,no,20170417,1,1,test,,,,,,,,,,,
20210329,6,20210329_006,E:\in-vivo_patch\20210329/20210329_006_2021_03_29_12_46_22.tdms,Pure Tones,no,20170417,1,1,test,exclude,,,,,,,,,,
20210401,1,20210401_001,E:\in-vivo_patch\20210401/20210401_001_2021_04_01_11_02_21.tdms,Pure Tones,no,20170417,1,1,test,exclude,,,,,,,,,,
20210401,2,20210401_002,E:\in-vivo_patch\20210401/20210401_002_2021_04_01_11_05_44.tdms,SAM,no,20170417,1,1,test,,,,,,,,,,,
20210401,3,20210401_003,E:\in-vivo_patch\20210401/20210401_003_2021_04_01_11_08_52.tdms,SAM,no,20170417,1,1,test,,,,,,,,,,,
20210401,4,20210401_004,E:\in-vivo_patch\20210401/20210401_004_2021_04_01_11_12_20.tdms,Pure Tones,no,20170417,1,1,test,exclude,,,,,,,,,,
20210401,5,20210401_005,E:\in-vivo_patch\20210401/20210401_005_2021_04_01_11_14_32.tdms,Pure Tones,no,20170417,1,1,test,exclude,,,,,,,,,,
20210401,6,20210401_006,E:\in-vivo_patch\20210401/20210401_006_2021_04_01_11_22_09.tdms,Double Tones,no,20170417,1,1,test,,,,,,,,,,,
20210401,7,20210401_007,E:\in-vivo_patch\20210401/20210401_007_2021_04_01_11_31_36.tdms,Pure Tones,no,20170417,1,1,test,exclude,,,,,,,,,,
