,20210611_002_std,20210611_002_p,20210614_001_std,20210614_001_p,20210617_001_std,20210617_001_p,20210622_001_std,20210622_001_p,20210622_003_std,20210622_003_p,20210730_002_std,20210730_002_p,20210730_004_std,20210730_004_p,20210809_003_std,20210809_003_p,20220216_001_std,20220216_001_p,20220216_003_std,20220216_003_p,20220527_003_std,20220527_003_p,20220527_006_std,20220527_006_p
0,0.916562303,0.450247146,0.860684736,0.962076392,2.114270883,0.993248428,1.574751935,0.801423979,1.941207022,0.105525814,2.508212496,0.771619398,2.281360291,0.658155325,2.28985202,0.800852507,2.120703771,0.289463633,2.298269447,0.165090803,3.081621286,0.218750452,2.506876684,0.326404357
1,0.919921766,0.586159815,0.846112887,0.905408921,2.149115704,0.732044783,1.595470482,0.700531251,1.940793719,0.098624735,2.527846427,0.764918231,2.316983192,0.608008971,2.298990404,0.797687491,2.153929701,0.280478127,2.29949108,0.1877967,3.090398579,0.201749584,2.504859931,0.29107472
2,0.8947698,0.657764463,0.850461137,0.768463823,2.213894433,0.705882294,1.604579054,0.663739684,1.938259467,0.079459452,2.519645322,0.719994504,2.34286683,0.521737456,2.305292189,0.808273564,2.227296211,0.316146856,2.290695272,0.186861988,3.075925014,0.213947509,2.50932419,0.281885943
3,0.877664317,0.723531618,0.832580607,0.954666154,2.099517063,0.773742844,1.604828399,0.662425761,1.937228839,0.072966529,2.526236391,0.658300095,2.385793665,0.393918702,2.306859535,0.810351083,2.332430301,0.316921569,2.326894066,0.126641347,3.040565918,0.202984319,2.520337899,0.274777399
4,0.879435014,0.708048875,0.839135129,0.63552231,1.923069238,0.708960507,1.614645009,0.810704068,1.93242219,0.058404761,2.52505024,0.661635625,2.418770706,0.398979075,2.293901451,0.771143495,2.494629253,0.34255335,2.390841229,0.07553959,3.012799467,0.200685975,2.540998133,0.301576114
5,0.894118514,0.659372635,0.866150927,0.380452518,1.857367573,0.514874354,1.614296726,0.92933847,1.928535761,0.048285388,2.538711962,0.750720517,2.451778399,0.529773818,2.290963418,0.756838573,2.877960125,0.345289013,2.471316271,0.073607144,2.998992207,0.258176049,2.549781609,0.342151999
6,0.908138759,0.724692707,0.85031296,0.66181698,1.945856843,0.491464393,1.61759343,0.946972465,1.934376594,0.046802691,2.576085352,0.654637657,2.449789568,0.712382397,2.296034754,0.794823316,3.34009716,0.314223034,2.498004102,0.075252608,2.987425749,0.293111214,2.562533703,0.363521611
7,0.929601459,0.808043324,0.856195418,0.837069969,1.919953551,0.944272515,1.613863965,0.782892434,1.918881328,0.04463997,2.641708657,0.616186186,2.475473669,0.891985614,2.302417378,0.808208354,3.747840435,0.33173362,2.556645695,0.073135014,2.997226004,0.345915637,2.564980528,0.451401151
8,0.955240278,0.66823898,0.882747798,0.567558686,2.000960597,0.953067481,1.623163488,0.701560662,1.909007047,0.036841085,2.645183362,0.547312924,2.503704509,0.934341844,2.315961757,0.797212201,4.021366701,0.338313236,2.639966948,0.071541559,2.997457005,0.429479333,2.563575296,0.502232234
9,0.988599046,0.614937873,0.921964676,0.532045227,1.977856764,0.795629031,1.644557529,0.810861253,1.911291702,0.044952894,2.637825407,0.539134093,2.508869778,0.916645536,2.328849975,0.785611116,4.199871637,0.290642305,2.686167343,0.071728715,3.008393313,0.46627999,2.576369139,0.581183792
10,0.999792189,0.67259999,0.959838588,0.410696614,1.978420271,0.800362795,1.655996108,0.683792704,1.914128664,0.064583635,2.62107409,0.472900975,2.540570465,0.99679098,2.335790335,0.7866859,4.285279812,0.220919741,2.76581168,0.064436356,3.015526964,0.533172376,2.583612998,0.566757628
11,1.01512616,0.716294757,0.965193671,0.424815491,1.91655007,0.999061497,1.657364413,0.703791589,1.914231556,0.074409062,2.61452987,0.520396117,2.551792839,0.802231862,2.331056275,0.775614818,4.273549939,0.234238346,2.852600758,0.070321986,3.035622954,0.755187585,2.606750599,0.635027386
12,1.015978779,0.6647527,0.938455828,0.395832268,1.81924301,0.925748823,1.689999079,0.762942524,1.91697425,0.063288765,2.632247455,0.531800497,2.516286181,0.732937019,2.329109781,0.793354843,4.193049411,0.23392336,2.902843139,0.086372251,3.076657603,0.886503596,2.602216327,0.665751985
13,1.017181563,0.533411437,0.959514446,0.463053856,1.766074811,0.941155578,1.737705974,0.904921083,1.936556707,0.051129365,2.639352877,0.567634777,2.508564459,0.62137459,2.324087847,0.809251198,4.120913488,0.183881713,2.914559427,0.078468364,3.11604845,0.891784684,2.59698214,0.644010851
14,1.024605345,0.493463096,0.952281242,0.517770291,1.832119915,0.976670691,1.770113376,0.941979222,1.938992311,0.065298472,2.633920484,0.615115543,2.538704796,0.583231246,2.328804648,0.778002111,4.086636997,0.158347068,2.833835654,0.088834951,3.165590091,0.83703333,2.617290466,0.664537458
15,1.035748185,0.465697588,0.919492662,0.642446244,1.963500119,0.575724213,1.800111566,0.878457659,1.947902483,0.081775782,2.585804219,0.655417285,2.581103347,0.500820797,2.331696869,0.692009858,4.080487062,0.162932788,2.723669586,0.086267576,3.184320502,0.892016268,2.648485644,0.820983232
16,1.05675393,0.539251837,0.891148473,0.764586903,2.119282826,0.302705057,1.813192785,0.89047839,1.932860771,0.090004619,2.533133728,0.709155291,2.607579687,0.392737016,2.336975947,0.63790959,4.035713998,0.138512711,2.606294502,0.068377011,3.185936102,0.968225734,2.687289231,0.928487383
17,1.087392261,0.423057882,0.858386879,0.851458448,2.123894253,0.507263732,1.826844589,0.970808687,1.917325738,0.117381463,2.512977067,0.800728264,2.61807544,0.330320781,2.330376938,0.550135409,3.940361848,0.160889016,2.481110086,0.054318083,3.222751436,0.760693645,2.73808897,0.679829255
18,1.089509014,0.433233918,0.837413521,0.97522549,2.106733616,0.618484176,1.833165812,0.859492776,1.906636207,0.138555057,2.479359799,0.86277812,2.63247181,0.270922857,2.334157763,0.478940483,3.820325213,0.159554304,2.37596251,0.048289698,3.366612214,0.56639524,2.789708394,0.458884256
19,1.093187311,0.450310893,0.833789905,0.888408925,2.133903281,0.61321165,1.838988512,0.847848096,1.893444053,0.116108006,2.450777735,0.9356623,2.663233704,0.131141652,2.348602445,0.436563247,3.698274886,0.188714194,2.282383178,0.044286072,3.453124917,0.298699207,2.822509849,0.353313388
20,1.109465376,0.446720148,0.859544146,0.982895381,2.09702199,0.511213809,1.857264596,0.855806874,1.913107454,0.063041495,2.419395288,0.948012629,2.712367665,0.108202093,2.359120843,0.39588714,3.62326322,0.261128759,2.201518884,0.046003375,3.475861128,0.196453987,2.847283796,0.430161374
21,1.14246318,0.308678563,0.848810872,0.943531264,1.955147334,0.622958711,1.861389191,0.754675392,1.926547701,0.01585553,2.394415487,0.828870109,2.742483443,0.076890677,2.364138821,0.379005447,3.552944172,0.347242539,2.145236162,0.043522797,3.5593986,0.178015552,2.890363125,0.604589262
22,1.166993656,0.252301223,0.835741918,0.954159516,1.950107618,0.990219408,1.857662493,0.677262103,1.924337236,0.006609779,2.376473789,0.828162051,2.752219988,0.067993558,2.370201445,0.367438568,3.488888347,0.496140396,2.082016781,0.047530829,3.606823098,0.149532455,2.938464212,0.77056055
23,1.194305001,0.30673746,0.844751401,0.806023104,2.113283538,0.683800186,1.849101034,0.568005035,1.917339304,0.003883696,2.367135261,0.850695872,2.771748956,0.075766221,2.382036563,0.350467567,3.455053774,0.595778341,2.066247313,0.051259983,3.62563553,0.138458878,2.970432124,0.804299897
24,1.199635766,0.391115299,0.843993753,0.771251052,2.164783942,0.305132362,1.854733617,0.509106581,1.906170544,0.002745514,2.382642886,0.956516553,2.772900703,0.088547392,2.392776273,0.322542489,3.40263979,0.635182248,2.078068864,0.050826994,3.590776509,0.126683867,2.989872625,0.782060448
25,1.232984187,0.419274184,0.859066443,0.707329011,2.209740705,0.434885681,1.873937982,0.477864782,1.900347836,0.003332433,2.397808753,0.869412343,2.80555703,0.148179986,2.412662388,0.282521661,3.378539056,0.706301393,2.092870267,0.042348097,3.575282507,0.131901367,3.020210847,0.718520152
26,1.229103254,0.496178915,0.899921248,0.683882702,2.159564975,0.517826611,1.908501502,0.469972976,1.901441824,0.005578867,2.392135361,0.892227829,2.888635988,0.162588127,2.427761164,0.255052255,3.351574274,0.690887436,2.092416145,0.049966692,3.620539767,0.099241726,3.02200193,0.555922229
27,1.236953172,0.672223607,0.929073899,0.754153432,2.213930359,0.511252659,1.922541476,0.49574271,1.947408662,0.004562273,2.383648341,0.901372423,2.950164327,0.119085578,2.438881397,0.235812401,3.241073066,0.918650448,2.110156983,0.074681466,3.67645407,0.07210615,3.008602051,0.393611436
28,1.252371537,0.66816152,0.964039785,0.75488086,2.191309734,0.467924459,1.887366246,0.533313447,1.984171999,0.00641223,2.38876718,0.960084729,2.945547825,0.06180517,2.450390499,0.215496052,3.29683914,0.863086744,2.098032045,0.101616387,3.70572314,0.06533874,2.991348272,0.337275452
29,1.266906867,0.624822889,0.986882391,0.539887675,2.056140578,0.502347742,1.863232138,0.546755699,2.011318348,0.005592921,2.39192447,0.791334676,2.92058823,0.059891305,2.466826442,0.214532256,3.417411337,0.798886885,2.079209226,0.130843249,3.67631845,0.086500749,2.961009583,0.261917304
30,1.283593173,0.639712007,0.995921001,0.473148544,1.955646777,0.754690343,1.847818374,0.543710045,2.020296316,0.004614586,2.389614657,0.686008834,2.875581549,0.07230123,2.473553852,0.196601414,3.439816559,0.83506814,2.070657923,0.116411707,3.644176843,0.100030768,2.921119655,0.205402418
31,1.292138289,0.636186607,0.965783319,0.487483088,2.080863349,0.727102737,1.848528628,0.574728976,2.012314013,0.006217639,2.393232903,0.559320729,2.820788963,0.052997317,2.467382167,0.184100679,3.469334145,0.895520196,2.062457811,0.081654021,3.591618289,0.074165229,2.883280662,0.18899978
32,1.308096809,0.66414226,0.968282488,0.427890462,2.185159644,0.371403029,1.863188276,0.59130895,2.004535237,0.011650045,2.397915682,0.473721446,2.79255505,0.050446731,2.457462523,0.16773428,3.454790371,0.972306409,2.042104642,0.048575881,3.563780682,0.091699803,2.846381394,0.136579882
33,1.336041541,0.669735601,0.910541796,0.623993668,2.257216053,0.398391256,1.863976156,0.659008512,1.999885326,0.028814188,2.397432461,0.442568413,2.76074314,0.059600548,2.459081727,0.155919458,3.386454364,0.93694617,2.026576106,0.037520749,3.545709753,0.117365636,2.82360068,0.116607362
34,1.340823603,0.617325016,0.887347526,0.691966466,2.163566695,0.585031296,1.871680321,0.741032437,1.977664053,0.048417224,2.395068814,0.357610353,2.716497461,0.061499775,2.475265307,0.147062384,3.341539286,0.917707061,2.017344203,0.051740962,3.512138824,0.079667696,2.80557995,0.119888757
35,1.329615727,0.679242766,0.862361946,0.730380425,2.131065222,0.633783504,1.877192832,0.789143558,1.956653421,0.055606662,2.383984272,0.300675051,2.703630729,0.046848358,2.49528849,0.121782065,3.225856433,0.906131466,2.024318529,0.06694898,3.629916256,0.071945898,2.766472789,0.11927935
36,1.328849945,0.760057687,0.869246722,0.744210967,2.19058125,0.631700073,1.895998378,0.92758229,1.954127183,0.068725577,2.383999587,0.370590738,2.686273415,0.027099291,2.521113114,0.111233137,3.133052502,0.896487201,2.028704419,0.081352014,3.801540664,0.056935604,2.735497624,0.107343002
37,1.32877244,0.770805092,0.886504167,0.6627719,2.160282983,0.630045034,1.925398732,0.968649344,1.95236638,0.087051118,2.376931911,0.333506351,2.671079731,0.028510038,2.533338585,0.099352808,3.057162404,0.971566116,2.00126534,0.103632166,3.886190372,0.05014348,2.740458679,0.09924668
38,1.309652318,0.701864732,0.900768354,0.752937215,2.031412127,0.869515056,1.929040349,0.987286439,1.951083213,0.092522751,2.369365152,0.274577261,2.665266608,0.036097635,2.5378243,0.095086454,2.994656138,0.934915022,1.939195237,0.111411202,3.943996657,0.05720612,2.739125469,0.086020114
39,1.294415282,0.737038545,0.930592137,0.695903305,2.099495746,0.984843199,1.941847185,0.83712013,1.955329009,0.168133573,2.344849218,0.21931026,2.669018192,0.029335197,2.539315825,0.08176001,3.004440994,0.871073427,1.923265781,0.120689482,4.013222145,0.047472689,2.705744444,0.055312951
40,1.291055202,0.845810551,0.920548936,0.59538311,2.200134085,0.666566962,1.95731609,0.888037424,1.941908729,0.242960853,2.330506242,0.237843355,2.67722377,0.035858823,2.531744005,0.06671559,3.01569136,0.820329846,1.894107599,0.097469172,4.034630332,0.034351192,2.685700607,0.052038898
41,1.305113911,0.859214041,0.945275102,0.547582732,2.25429076,0.447738209,1.964330784,0.877428516,1.931142872,0.305179189,2.327218431,0.307983867,2.681657702,0.029836036,2.52523642,0.055422477,3.014413615,0.721100864,1.892580909,0.064112709,3.974537878,0.018393267,2.686789635,0.067573725
42,1.303670238,0.845530497,1.034256156,0.9415795,2.169748335,0.677554713,1.96645314,0.896523437,1.930180148,0.409752003,2.344694409,0.369212407,2.659627898,0.037456266,2.52754397,0.050581263,3.047025135,0.661230932,1.884729184,0.050836532,3.899930619,0.015421321,2.668428774,0.08944018
43,1.272578628,0.962244375,1.043121072,0.968540071,2.148637211,0.741122804,1.938560202,0.88354654,1.916500807,0.4339701,2.344558058,0.364623739,2.631897974,0.03493416,2.532932713,0.043775823,3.030102994,0.634366623,1.881905228,0.047509086,3.887478916,0.012898655,2.640952336,0.112993089
