mouseID,filename,best_frequency,bandwidth,peak_amplitude,time2peak,patch_site,tuning
TG150,20230607_001,13680.58931,2.2,3.578460487,69.88,up,yes
TG150,20230607_004,11794.02091,2.25,6.021019404,65.72,up,yes
TG150,20230607_007,11987.73298,2.25,5.063696409,52.12,up,yes
TG150,20230607_008,12856.3569,2.25,10.19565322,89.76,up,yes
TG150,20230607_011,12211.41889,2.5,5.711744345,72.76,up,yes
TG150,20230607_013,11393.89394,2.716666667,5.696418981,63.16,up,yes
TG147,20230620_001,8837.014183,0.883333333,2.713013157,336.36,up,no
TG147,20230620_004,15607.8399,3.483333333,1.510952291,243.36,up,no
TG147,20230620_007,16217.20985,4.116666667,0.688013003,51.52,up,maybe
TG147,20230620_009,19128.54096,3.983333333,0.905672378,33.44,up,no
TG145,20230628_002,8806.575268,1.866666667,5.887075481,62.32,up,yes
TG145,20230630_002,11842.81815,2,6.903930922,29.32,up,yes
TG145,20230630_007,14122.90626,1.533333333,2.364832076,230.24,low,maybe
TG145,20230630_010,9890.748335,1.483333333,4.150339882,38.6,low,maybe
TG146,20230630_013,21611.49497,1.383333333,1.756033933,256.12,low,yes
TP035,20231006_001,9828.703179,0.35,1.263484805,216.08,low,no
TP032,20231008_001,14998.33068,1.9,21.07163361,55.04,up,yes
TP032,20231008_003,18810.79505,2.066666667,4.784439481,69.44,up,yes
TP032,20231008_006,23158.52904,2.133333333,5.112509495,78.52,up,yes
TP026,20231012_001,13556.61748,3,1.75095859,119.48,low,yes
TP057,20231026_001,37902.84799,2.016666667,8.830434917,144.76,up,yes
TP057,20231027_002,9016.746102,1.233333333,0.678927168,80.36,up,no
TP064,20231121_001,4578.418161,0.65,9.7900115,56.76,low,yes
TP064,20231121_004,4567.457758,0.666666667,5.395115201,36.6,low,yes
TP064,20231121_006,3356.122349,0.216666667,12.88678699,44.8,low,yes
TP064,20231121_008,14677.33807,2.5,3.623525776,70.48,up,yes
TP087,20231128_002,7523.140739,2.216666667,1.838311208,35.44,low,maybe
TP087,20231128_005,10089.65104,4.8,1.552470751,332.84,low,no
TP087,20231128_006,8874.123151,1.216666667,1.11164837,316.36,low,no
TP087,20231128_008,5714.906063,1.1,14.18586387,60.72,low,yes
TP087,20231128_011,7038.747464,1.333333333,7.325405125,47.28,low,yes
TP096,20231201_001,13870.34252,1.266666667,4.992875921,28.8,low,yes
TP096,20231201_005,17294.41159,3.35,3.739053634,58.8,up,maybe
TP096,20231201_008,20434.59304,2.133333333,2.849004516,141.2,up,maybe
TP109,20231215_001,18816.37336,3.133333333,2.630229157,37.56,up,yes
TP110,20231221_001,23814.76895,3.716666667,0.738738922,327,low,no
TP110,20231221_003,6610.686922,1.25,3.638752606,40.52,low,yes
TP110,20231221_006,6942.616922,1.583333333,2.538446405,37.76,low,yes
